AcquireX Precursor Intensities,DDA Precursor Intensities,Log Ax,Log DDA
618544.81,11585572.00,5.79,7.06
434851.19,8745851.00,5.64,6.94
323396.72,4830305.00,5.51,6.68
637240.69,4729130.00,5.80,6.67
472576.28,4051692.25,5.67,6.61
484422.28,2900396.25,5.69,6.46
236385.23,2636800.25,5.37,6.42
321194.69,2216082.50,5.51,6.35
581881.44,2051272.63,5.76,6.31
256757.94,481309.00,5.41,5.68
401610.22,1507272.50,5.60,6.18
333503.97,1430771.63,5.52,6.16
253676.52,1278164.50,5.40,6.11
266101.88,1072603.13,5.43,6.03
425563.97,1138402.88,5.63,6.06
356199.88,1310532.75,5.55,6.12
1313956.88,1147853.88,6.12,6.06
369802.97,1027117.56,5.57,6.01
344997.94,988264.56,5.54,5.99
331126.25,817486.44,5.52,5.91
322974.63,1174280.38,5.51,6.07
904409.31,1080545.00,5.96,6.03
135927.73,972943.94,5.13,5.99
347872.09,741517.19,5.54,5.87
293538.19,457976.81,5.47,5.66
293258.97,878395.75,5.47,5.94
672642.88,755464.00,5.83,5.88
1096051.88,686056.88,6.04,5.84
234884.34,604194.88,5.37,5.78
275817.25,646700.38,5.44,5.81
352295.06,835498.56,5.55,5.92
1218641.13,731508.06,6.09,5.86
628537.19,596886.69,5.80,5.78
565169.81,567083.19,5.75,5.75
266911.19,515928.94,5.43,5.71
327645.75,47448460.00,5.52,7.68
589937.00,595872.63,5.77,5.78
375051.28,565440.94,5.57,5.75
365799.84,417308.44,5.56,5.62
190387.11,441936.19,5.28,5.65
559494.63,17359642.00,5.75,7.24
590245.50,566655.56,5.77,5.75
294461.47,483728.78,5.47,5.68
409277.22,466199.34,5.61,5.67
664223.06,465149.72,5.82,5.67
164992.88,11347405.00,5.22,7.05
397969.19,446023.91,5.60,5.65
345079.22,435596.28,5.54,5.64
323755.25,389876.66,5.51,5.59
298238.59,442140.41,5.47,5.65
308236.69,8254885.00,5.49,6.92
373592.59,4939636.50,5.57,6.69
354408.97,4668285.50,5.55,6.67
360298.22,4232459.50,5.56,6.63
1161503.13,3138284.00,6.07,6.50
395229.78,2774415.75,5.60,6.44
294629.94,2420991.25,5.47,6.38
269043.53,2168085.25,5.43,6.34
632890.38,1339626.75,5.80,6.13
345183.16,485805.88,5.54,5.69
341925.47,1736402.88,5.53,6.24
384970.31,1416293.25,5.59,6.15
119369.38,1291944.88,5.08,6.11
287964.66,1111025.88,5.46,6.05
318886.13,958058.75,5.50,5.98
886661.50,1287501.38,5.95,6.11
563667.94,1268628.75,5.75,6.10
353896.09,1208656.63,5.55,6.08
145064.42,1094046.88,5.16,6.04
47733.80,1179478.00,4.68,6.07
666908.44,1047042.13,5.82,6.02
1609588.25,920353.69,6.21,5.96
650720.38,819959.81,5.81,5.91
55942.96,701324.75,4.75,5.85
490196.50,484170.56,5.69,5.68
532056.81,928896.25,5.73,5.97
327232.31,756342.94,5.51,5.88
1007017.81,690455.88,6.00,5.84
70705.04,682645.63,4.85,5.83
2051136.63,673561.13,6.31,5.83
1675574.50,45259436.00,6.22,7.66
1474764.38,638386.00,6.17,5.81
1452058.88,623779.56,6.16,5.80
1427264.38,600787.38,6.15,5.78
5346865.00,488052.34,6.73,5.69
3979357.75,18078128.00,6.60,7.26
2881916.50,608373.25,6.46,5.78
2455367.00,556890.00,6.39,5.75
2312485.50,470930.59,6.36,5.67
4775822.50,463428.50,6.68,5.67
4606600.50,11504290.00,6.66,7.06
3684630.00,533534.13,6.57,5.73
3533187.25,514793.00,6.55,5.71
3183321.25,465501.63,6.50,5.67
4761044.50,432376.94,6.68,5.64
4695319.00,8455327.00,6.67,6.93
4187566.25,526813.88,6.62,5.72
4113940.50,456625.28,6.61,5.66
1016721.13,388026.03,6.01,5.59
3700129.00,411536.38,6.57,5.61
3006401.75,4928756.50,6.48,6.69
2518610.25,4832867.00,6.40,6.68
2478591.00,4507015.00,6.39,6.65
791895.13,3274231.50,5.90,6.52
3440829.75,2401955.25,6.54,6.38
2500962.25,2508275.25,6.40,6.40
2070695.00,2172476.50,6.32,6.34
1957691.00,1594536.50,6.29,6.20
1121687.25,1463255.38,6.05,6.17
3838451.75,524087.38,6.58,5.72
3536960.25,1434316.13,6.55,6.16
2176978.00,1434108.00,6.34,6.16
1970720.00,1253127.00,6.29,6.10
3820534.00,1228593.75,6.58,6.09
3258003.00,1068880.38,6.51,6.03
9864496.00,1161786.00,6.99,6.07
8550040.00,1090287.00,6.93,6.04
3257958.50,1083521.88,6.51,6.03
953388.63,1037985.50,5.98,6.02
3893516.50,1009152.06,6.59,6.00
21178746.00,949772.13,7.33,5.98
19715522.00,882087.38,7.29,5.95
5002872.00,793095.63,6.70,5.90
2264737.50,717565.88,6.36,5.86
4910318.00,576433.63,6.69,5.76
4704281.00,46013928.00,6.67,7.66
4168968.50,874886.13,6.62,5.94
3631787.25,728423.94,6.56,5.86
3367463.25,702983.75,6.53,5.85
5157911.00,539996.75,6.71,5.73
3764525.25,18406472.00,6.58,7.26
3370569.00,728486.13,6.53,5.86
2910918.75,598019.94,6.46,5.78
2188113.50,546618.06,6.34,5.74
3360237.75,432578.63,6.53,5.64
2796623.00,11623271.00,6.45,7.07
2143301.00,546523.38,6.33,5.74
2012194.00,544577.31,6.30,5.74
1198245.63,522100.94,6.08,5.72
2451513.75,488281.00,6.39,5.69
2305485.50,8427510.00,6.36,6.93
1886741.75,589125.50,6.28,5.77
1827025.00,561982.06,6.26,5.75
1056157.00,477970.53,6.02,5.68
2499537.00,484381.13,6.40,5.69
2401738.00,5188476.00,6.38,6.72
2342863.00,559880.38,6.37,5.75
2096394.75,471676.75,6.32,5.67
1208081.00,275161.69,6.08,5.44
2442165.50,503010.81,6.39,5.70
2092481.00,4807257.00,6.32,6.68
1933012.75,4487775.50,6.29,6.65
1203662.88,3248793.00,6.08,6.51
2074192.50,252090.06,6.32,5.40
3446682.75,2855714.00,6.54,6.46
1526680.38,2687771.25,6.18,6.43
1105917.75,2637525.25,6.04,6.42
884763.31,2189477.75,5.95,6.34
723788.00,1901588.63,5.86,6.28
748880.44,4878389.00,5.87,6.69
1910117.63,4482079.50,6.28,6.65
933348.63,2814623.25,5.97,6.45
673161.19,2106613.00,5.83,6.32
1084572.63,1245117.88,6.04,6.10
1376371.25,6155644.00,6.14,6.79
1213733.50,5161861.50,6.08,6.71
976784.88,3376818.75,5.99,6.53
964960.63,2890665.00,5.98,6.46
3014112.00,313573.03,6.48,5.50
2018361.38,8352087.00,6.30,6.92
44641820.00,6272012.00,7.65,6.80
1862805.75,3792444.50,6.27,6.58
1003925.13,3375614.00,6.00,6.53
979053.19,2362787.50,5.99,6.37
2178504.50,13442662.00,6.34,7.13
1943835.75,45783708.00,6.29,7.66
1600309.88,6918499.50,6.20,6.84
1570556.88,4069401.25,6.20,6.61
3578852.25,3634423.50,6.55,6.56
2574410.00,8055387.00,6.41,6.91
1811688.63,13374393.00,6.26,7.13
1650368.75,6208829.50,6.22,6.79
1481817.63,5607026.00,6.17,6.75
563299.88,4238916.50,5.75,6.63
2285442.00,9268936.00,6.36,6.97
2240156.75,10502710.00,6.35,7.02
1165539.13,5426509.50,6.07,6.73
1136276.00,4885422.50,6.06,6.69
606392.25,1660926.00,5.78,6.22
763792.00,6241801.50,5.88,6.80
5414780.00,70515768.00,6.73,7.85
38379496.00,4747423.00,7.58,6.68
34410248.00,4456554.50,7.54,6.65
49186236.00,2679912.25,7.69,6.43
1689221.13,5851667.00,6.23,6.77
1588139.13,103218024.00,6.20,8.01
1553811.88,5062621.50,6.19,6.70
1220320.38,4566726.00,6.09,6.66
1050607.50,2347590.00,6.02,6.37
11426671.00,4841021.50,7.06,6.68
10128216.00,30734586.00,7.01,7.49
6780026.00,6946699.50,6.83,6.84
6307496.50,4704402.50,6.80,6.67
5365653.00,6068113.00,6.73,6.78
9304437.00,3840678.25,6.97,6.58
7270604.00,69465128.00,6.86,7.84
6022560.00,3421860.25,6.78,6.53
5425683.50,3093450.50,6.73,6.49
1633129.50,1689862.50,6.21,6.23
1168574.13,7217336.50,6.07,6.86
1068339.88,6672409.50,6.03,6.82
6083324.50,3821407.00,6.78,6.58
5427306.50,3720212.75,6.73,6.57
1431613.50,3254219.75,6.16,6.51
20634866.00,10564969.00,7.31,7.02
6750009.00,95013832.00,6.83,7.98
5904013.00,14848939.00,6.77,7.17
5668784.00,5106704.00,6.75,6.71
11040727.00,4299224.00,7.04,6.63
7337345.00,4089078.25,6.87,6.61
8967847.00,160045408.00,6.95,8.20
7148294.50,95440376.00,6.85,7.98
5849920.50,2935974.25,6.77,6.47
2010246.25,2423667.00,6.30,6.38
10951497.00,2641534.25,7.04,6.42
44755264.00,61643236.00,7.65,7.79
7616446.50,37697796.00,6.88,7.58
4669018.00,21403498.00,6.67,7.33
8004070.50,15555200.00,6.90,7.19
7970093.00,5829452.50,6.90,6.77
5035075.50,19201034.00,6.70,7.28
3910747.75,13930968.00,6.59,7.14
2981185.75,3592397.25,6.47,6.56
2108474.00,3544324.00,6.32,6.55
1520508.88,3834472.50,6.18,6.58
2750295.00,10861946.00,6.44,7.04
24976318.00,10763782.00,7.40,7.03
6070766.00,7418487.50,6.78,6.87
1926411.13,47451088.00,6.28,7.68
1598917.88,6757125.50,6.20,6.83
100646376.00,43373856.00,8.00,7.64
5347835.00,8353333.00,6.73,6.92
1416240.88,5382044.00,6.15,6.73
1862116.00,1823471.75,6.27,6.26
1758342.75,2766773.25,6.25,6.44
4231615.50,1813979008.00,6.63,9.26
2104923.25,2908856.00,6.32,6.46
1085151.63,2725346.75,6.04,6.44
4027240.50,490385.00,6.61,5.69
1331364.88,3379373.25,6.12,6.53
38018488.00,31582116.00,7.58,7.50
1326028.88,2806282.25,6.12,6.45
1108456.88,2634346.00,6.04,6.42
11171113.00,1469112.00,7.05,6.17
1918874.25,1883689.13,6.28,6.28
10977654.00,17186328.00,7.04,7.24
1638625.13,12690353.00,6.21,7.10
1440588.38,6267305.00,6.16,6.80
2759967.00,6226625.50,6.44,6.79
2252300.00,4531160.00,6.35,6.66
1511260.75,16323766.00,6.18,7.21
1225869.63,13471574.00,6.09,7.13
1196243.50,10844108.00,6.08,7.04
2176745.50,5745106.00,6.34,6.76
1183672.13,3772924.25,6.07,6.58
1126357.63,27927750.00,6.05,7.45
1037607.00,2758406.00,6.02,6.44
1024617.06,2180801.50,6.01,6.34
792882.50,151916992.00,5.90,8.18
2567298.25,2541632.00,6.41,6.41
7611533.00,19394494.00,6.88,7.29
1964625.38,10915386.00,6.29,7.04
1507999.38,1681005.75,6.18,6.23
472465.44,2383781.75,5.67,6.38
1480694.00,2122136.00,6.17,6.33
7962371.50,42888172.00,6.90,7.63
1404899.75,5184288.50,6.15,6.71
1351357.38,3155156.75,6.13,6.50
2305590.75,1229654.00,6.36,6.09
1561614.50,1471232.38,6.19,6.17
44599228.00,14635949.00,7.65,7.17
1507682.75,1738995.25,6.18,6.24
1450550.25,1370437.25,6.16,6.14
1182933.38,825372.94,6.07,5.92
1619235.63,1700637.25,6.21,6.23
21234056.00,11280014.00,7.33,7.05
5898858.00,10713703.00,6.77,7.03
1557144.13,1588079.13,6.19,6.20
346851.88,747275.69,5.54,5.87
1950513.50,1646765.63,6.29,6.22
2411688.25,14249378.00,6.38,7.15
1813307.00,2669606.75,6.26,6.43
1422510.88,1686398.13,6.15,6.23
1119988.00,1518440.63,6.05,6.18
1177910.50,2220693.00,6.07,6.35
22000134.00,63259320.00,7.34,7.80
8135371.50,7088791.50,6.91,6.85
1625556.25,1363339.75,6.21,6.13
443252.50,1016752.63,5.65,6.01
1182482.38,1255045.13,6.07,6.10
13446337.00,1434748.00,7.13,6.16
8293057.00,1159157.13,6.92,6.06
1666953.75,1151721.00,6.22,6.06
435104.38,994361.25,5.64,6.00
1220953.00,1021923.69,6.09,6.01
18549002.00,5544544.50,7.27,6.74
3804166.00,4573120.00,6.58,6.66
3411907.50,971860.63,6.53,5.99
367746.28,872676.50,5.57,5.94
655659.50,1237731.88,5.82,6.09
5816271.00,14622482.00,6.76,7.17
3194276.75,4762865.00,6.50,6.68
1487610.25,1082159.00,6.17,6.03
518154.41,1018097.69,5.71,6.01
624702.38,940117.13,5.80,5.97
7235875.50,49491012.00,6.86,7.69
1086654.50,4673410.00,6.04,6.67
606361.69,2740532.25,5.78,6.44
567181.56,1706684.13,5.75,6.23
533081.06,889105.56,5.73,5.95
5533920.50,51920928.00,6.74,7.72
2226883.00,971568.31,6.35,5.99
500395.25,844794.06,5.70,5.93
1245948.88,741869.13,6.10,5.87
1109414.00,875517.69,6.05,5.94
61638728.00,17184260.00,7.79,7.24
3793568.25,3629327.50,6.58,6.56
3246133.50,1460010.50,6.51,6.16
1367534.88,1452947.00,6.14,6.16
1362822.25,778418.31,6.13,5.89
5611462.00,12515065.00,6.75,7.10
3797905.75,6830795.00,6.58,6.83
1264934.88,3258820.00,6.10,6.51
633006.94,1489040.13,5.80,6.17
630984.63,713802.88,5.80,5.85
47154624.00,12487785.00,7.67,7.10
34535924.00,8465962.00,7.54,6.93
6749523.00,1348897.88,6.83,6.13
5324810.00,1193331.25,6.73,6.08
5572385.50,792606.50,6.75,5.90
11893499.00,32948912.00,7.08,7.52
9202570.00,2369420.75,6.96,6.37
3562252.50,2153867.00,6.55,6.33
2676323.25,1741686.13,6.43,6.24
1437485.63,1615719.50,6.16,6.21
1748477.38,4299392.00,6.24,6.63
1373645.00,1706348.13,6.14,6.23
1234665.75,1354496.00,6.09,6.13
2784720.75,1306014.13,6.44,6.12
1598684.25,1229085.88,6.20,6.09
11362144.00,4454959.00,7.06,6.65
1897776.38,1124028.88,6.28,6.05
669517.81,969740.94,5.83,5.99
357342.03,840269.50,5.55,5.92
543541.69,940480.13,5.74,5.97
6117141.00,7059399.50,6.79,6.85
4021097.75,4919281.00,6.60,6.69
3698498.50,1624599.63,6.57,6.21
687074.75,1172359.63,5.84,6.07
604217.81,1000043.06,5.78,6.00
4820293.00,14668848.00,6.68,7.17
1479924.50,2259456.50,6.17,6.35
655307.75,1179113.63,5.82,6.07
1394801.00,958310.31,6.14,5.98
566086.13,784847.06,5.75,5.89
6186757.00,50613408.00,6.79,7.70
5282676.50,4198983.00,6.72,6.62
1162572.13,701329.44,6.07,5.85
349309.03,870310.88,5.54,5.94
570969.88,763349.56,5.76,5.88
1280437.00,18662822.00,6.11,7.27
1070031.75,860535.69,6.03,5.93
1026501.19,816198.56,6.01,5.91
386432.25,742129.56,5.59,5.87
556113.25,711060.69,5.75,5.85
66053728.00,12244989.00,7.82,7.09
12178751.00,2215618.00,7.09,6.35
3307232.75,1302420.75,6.52,6.11
505696.69,926907.81,5.70,5.97
901860.56,859318.38,5.96,5.93
3715623.25,10629489.00,6.57,7.03
1170834.38,2865308.75,6.07,6.46
947671.69,1238748.13,5.98,6.09
439326.56,1119773.25,5.64,6.05
1094012.75,682455.31,6.04,5.83
98185672.00,2063922.38,7.99,6.31
31008688.00,660307.69,7.49,5.82
25927100.00,614200.88,7.41,5.79
19299930.00,7803053.00,7.29,6.89
6711737.50,2453342.25,6.83,6.39
6227675.50,3938281.25,6.79,6.60
946585.88,2497454.75,5.98,6.40
915679.81,2309825.50,5.96,6.36
390775.75,1652742.38,5.59,6.22
923646.88,1450436.88,5.97,6.16
4449150.00,3644535.25,6.65,6.56
2832487.25,1755911.38,6.45,6.24
1657210.00,1364311.75,6.22,6.13
312266.97,807150.13,5.49,5.91
1198732.25,1295220.63,6.08,6.11
8902490.00,1192364.25,6.95,6.08
4491339.50,1176865.88,6.65,6.07
1010584.00,1137484.75,6.00,6.06
2666182.25,905350.56,6.43,5.96
2015128.63,713125.50,6.30,5.85
4493422.50,8656976.00,6.65,6.94
2618262.75,4884913.00,6.42,6.69
1736851.38,1811431.13,6.24,6.26
1430382.25,1091444.75,6.16,6.04
1047902.44,815099.75,6.02,5.91
10186627.00,50103396.00,7.01,7.70
5439044.00,1649466.13,6.74,6.22
1033697.88,1144958.38,6.01,6.06
810531.63,704753.38,5.91,5.85
933448.69,630582.88,5.97,5.80
5222262.50,17670314.00,6.72,7.25
2080379.25,4048753.00,6.32,6.61
1298312.63,589029.69,6.11,5.77
1063747.50,577905.19,6.03,5.76
957079.50,587519.81,5.98,5.77
32712546.00,12045656.00,7.51,7.08
1229815.63,939558.69,6.09,5.97
902920.06,898253.44,5.96,5.95
283163.75,777232.50,5.45,5.89
1000324.19,566903.19,6.00,5.75
2242178.00,10032856.00,6.35,7.00
1342031.75,1772202.38,6.13,6.25
851628.75,1114736.63,5.93,6.05
351415.16,1012321.94,5.55,6.01
1081204.50,863088.06,6.03,5.94
52913388.00,703362.69,7.72,5.85
1833427.88,620907.56,6.26,5.79
990424.75,612707.94,6.00,5.79
812144.50,370690.41,5.91,5.57
953607.75,570393.50,5.98,5.76
6948982.00,6947723.50,6.84,6.84
4643379.00,4920157.50,6.67,6.69
3232754.00,3616626.25,6.51,6.56
729577.63,470517.06,5.86,5.67
1617110.00,568688.94,6.21,5.75
68346480.00,3444135.00,7.83,6.54
5591295.00,2396557.25,6.75,6.38
3324535.25,2157610.50,6.52,6.33
719305.75,1625392.38,5.86,6.21
983525.00,1096910.75,5.99,6.04
11040325.00,1610712.88,7.04,6.21
7411500.00,1437522.88,6.87,6.16
1105988.75,1423243.63,6.04,6.15
1556817.50,1071660.00,6.19,6.03
1528444.13,643448.38,6.18,5.81
5473611.00,4490123.00,6.74,6.65
4234414.50,1058138.00,6.63,6.02
2165365.25,1052755.50,6.34,6.02
356955.53,590149.13,5.55,5.77
959112.69,587894.13,5.98,5.77
5608443.00,50768624.00,6.75,7.71
2338277.00,4883618.50,6.37,6.69
932465.31,2034531.63,5.97,6.31
820696.88,1061144.63,5.91,6.03
1111843.75,639989.69,6.05,5.81
6550432.50,18893112.00,6.82,7.28
936633.69,1393713.00,5.97,6.14
855542.63,1038199.94,5.93,6.02
659466.31,714861.06,5.82,5.85
866388.63,678161.00,5.94,5.83
2850547.75,12732855.00,6.45,7.10
1965283.88,4759620.50,6.29,6.68
1694161.75,909991.63,6.23,5.96
351316.03,692063.19,5.55,5.84
885909.44,655826.00,5.95,5.82
1910699.88,10187796.00,6.28,7.01
1779568.50,909362.13,6.25,5.96
1222766.63,878580.44,6.09,5.94
307880.47,851499.00,5.49,5.93
922937.25,753234.25,5.97,5.88
3744763.00,1737295.13,6.57,6.24
846988.00,1695856.38,5.93,6.23
487318.72,1293802.00,5.69,6.11
382964.25,1205477.75,5.58,6.08
812761.19,537736.06,5.91,5.73
1696392.38,6454787.00,6.23,6.81
1245739.25,2260168.75,6.10,6.35
500728.00,1180828.00,5.70,6.07
411413.09,665040.56,5.61,5.82
790512.63,536645.06,5.90,5.73
84190432.00,4381348.50,7.93,6.64
2590988.25,3662361.25,6.41,6.56
1572621.13,3038474.75,6.20,6.48
394525.28,612078.44,5.60,5.79
765917.94,541591.00,5.88,5.73
78942208.00,2435737.25,7.90,6.39
8900742.00,1975787.63,6.95,6.30
2024213.13,1604856.50,6.31,6.21
367438.28,1114840.13,5.57,6.05
693895.38,575832.25,5.84,5.76
4606063.50,2926910.00,6.66,6.47
4212939.00,1340951.25,6.62,6.13
2233745.75,1124517.13,6.35,6.05
258043.58,650114.63,5.41,5.81
721699.88,584521.94,5.86,5.77
3689022.25,50680028.00,6.57,7.70
2390570.75,1056431.38,6.38,6.02
740233.88,1037813.25,5.87,6.02
712192.38,487935.41,5.85,5.69
1132859.13,549984.50,6.05,5.74
5578105.50,18475946.00,6.75,7.27
5435637.00,4971991.00,6.74,6.70
1221676.25,1927130.00,6.09,6.28
682138.13,1019250.69,5.83,6.01
1065129.13,575950.75,6.03,5.76
1351190.38,12277108.00,6.13,7.09
952685.00,1060337.88,5.98,6.03
807322.81,1039569.88,5.91,6.02
310510.66,625885.00,5.49,5.80
1043138.06,595276.81,6.02,5.77
2191479.75,9500094.00,6.34,6.98
986679.06,4764068.00,5.99,6.68
942103.31,909584.56,5.97,5.96
300396.09,481274.94,5.48,5.68
375028.44,745473.38,5.57,5.87
20597282.00,1554703.38,7.31,6.19
4652618.50,886317.44,6.67,5.95
2407014.75,818187.06,6.38,5.91
269355.44,531937.94,5.43,5.73
1797410.00,779150.88,6.25,5.89
1711333.13,5917912.50,6.23,6.77
1256609.88,1138056.13,6.10,6.06
1121888.00,1118538.63,6.05,6.05
955581.50,776804.19,5.98,5.89
716514.25,703543.81,5.86,5.85
17104956.00,1066570.00,7.23,6.03
1928618.75,873901.19,6.29,5.94
693493.19,829351.75,5.84,5.92
664915.69,717436.25,5.82,5.86
1277277.00,560858.50,6.11,5.75
132003016.00,3236081.75,8.12,6.51
6106785.00,2960196.00,6.79,6.47
1273029.13,2640276.50,6.10,6.42
910867.13,550136.00,5.96,5.74
852661.69,589155.31,5.93,5.77
808587.25,2392301.00,5.91,6.38
430007.75,2125150.50,5.63,6.33
421411.44,1743233.50,5.62,6.24
357948.00,516890.66,5.55,5.71
376397.16,563287.00,5.58,5.75
16813430.00,51069636.00,7.23,7.71
5847268.00,1471709.13,6.77,6.17
1534722.75,1195967.50,6.19,6.08
268143.38,420367.84,5.43,5.62
713793.63,522524.19,5.85,5.72
3778273.25,18020304.00,6.58,7.26
2734065.25,1079596.50,6.44,6.03
703391.38,1050791.25,5.85,6.02
668166.75,496129.59,5.82,5.70
682963.56,567875.13,5.83,5.75
1041157.94,11866513.00,6.02,7.07
706912.13,4700517.00,5.85,6.67
640861.25,1394939.25,5.81,6.14
301355.81,1102137.25,5.48,6.04
1021383.19,537238.81,6.01,5.73
1019081.75,9669373.00,6.01,6.99
861907.81,1061638.63,5.94,6.03
837218.88,910267.00,5.92,5.96
745554.56,518971.47,5.87,5.72
625436.19,584946.00,5.80,5.77
27993914.00,5626809.00,7.45,6.75
3468833.50,4972715.50,6.54,6.70
772781.88,1502415.88,5.89,6.18
269174.16,921380.69,5.43,5.96
752596.75,793521.06,5.88,5.90
15989049.00,5700316.50,7.20,6.76
8864472.00,4833466.00,6.95,6.68
5992610.00,880532.38,6.78,5.94
2882369.25,864058.13,6.46,5.94
1455575.88,737422.81,6.16,5.87
16772402.00,1063812.75,7.22,6.03
5010788.50,1042830.75,6.70,6.02
864442.06,670928.88,5.94,5.83
517025.28,621369.25,5.71,5.79
716525.56,700553.94,5.86,5.85
91386568.00,3349705.50,7.96,6.53
3279636.75,2015643.75,6.52,6.30
672199.75,779863.94,5.83,5.89
1949674.25,615106.38,6.29,5.79
1267943.88,542617.88,6.10,5.73
8790053.00,2794723.00,6.94,6.45
867376.38,2403628.25,5.94,6.38
840475.94,1517639.13,5.92,6.18
572200.81,608400.31,5.76,5.78
778243.13,537960.69,5.89,5.73
1272938.00,49633680.00,6.10,7.70
652989.63,2197387.25,5.81,6.34
620352.75,1846381.50,5.79,6.27
553520.13,477326.66,5.74,5.68
519037.91,482890.41,5.72,5.68
5943200.50,18410228.00,6.77,7.27
3987016.00,1430045.00,6.60,6.16
712976.88,1213487.88,5.85,6.08
478493.69,456922.50,5.68,5.66
640444.38,469396.31,5.81,5.67
1185725.88,12253813.00,6.07,7.09
959963.06,1206391.88,5.98,6.08
681725.69,1190304.38,5.83,6.08
248818.66,525661.63,5.40,5.72
526009.00,502752.16,5.72,5.70
1891028.88,9114434.00,6.28,6.96
852868.50,5098301.50,5.93,6.71
565770.44,1473445.00,5.75,6.17
380001.06,1174875.50,5.58,6.07
521602.50,516441.28,5.72,5.71
15082343.00,1971622.25,7.18,6.29
981230.44,1096499.88,5.99,6.04
742783.63,723586.25,5.87,5.86
261502.16,626843.44,5.42,5.80
607019.56,523548.47,5.78,5.72
43048308.00,5912704.00,7.63,6.77
4445523.50,4646731.00,6.65,6.67
644798.50,1450391.63,5.81,6.16
192022.86,935046.69,5.28,5.97
582569.31,582818.63,5.77,5.77
15919457.00,1878556.00,7.20,6.27
15426151.00,1214826.38,7.19,6.08
2525132.75,949122.31,6.40,5.98
569014.00,839263.00,5.76,5.92
459756.13,504485.25,5.66,5.70
6480876.50,3363026.00,6.81,6.53
6341377.50,1509236.88,6.80,6.18
3729593.25,712617.38,6.57,5.85
524784.88,692532.38,5.72,5.84
705804.69,604048.63,5.85,5.78
3310342.50,2466122.75,6.52,6.39
1362461.25,1196287.13,6.13,6.08
668733.56,680548.56,5.83,5.83
468682.59,646234.38,5.67,5.81
533807.81,550617.38,5.73,5.74
3535484.00,50604440.00,6.55,7.70
